date,category,code,name,grade,price_krw_per_kg,source,note
2026-06-08,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-08,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-08,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-08,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-08,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-08,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-08,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-08,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-08,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-08,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-08,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-08,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-08,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-08,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-08,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-08,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-08,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-08,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-09,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-09,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-09,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-09,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-09,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-09,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-09,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-09,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-09,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-09,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-09,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-09,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-09,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-09,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-09,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-09,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-09,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-09,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-09,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-09,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-09,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-10,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-10,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-10,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-10,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-10,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-10,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-10,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-10,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-10,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-10,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-10,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-10,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-10,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-10,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-10,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-10,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-10,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-10,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-10,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-10,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-10,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-11,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-11,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-11,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-11,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-11,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-11,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-11,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-11,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-11,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-11,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-11,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-11,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-11,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-11,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-11,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-11,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-11,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-11,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-11,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-11,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-11,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-12,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-12,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-12,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-12,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-12,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-12,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-12,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-12,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-12,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-12,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-12,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-12,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-12,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-12,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-12,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-12,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-12,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-12,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-12,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-12,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-12,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-13,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-13,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-13,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-13,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-13,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-13,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-13,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-13,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-13,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-13,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-13,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-13,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-13,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-13,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-13,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-13,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-13,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-13,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-13,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-13,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-13,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-14,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-14,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-14,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-14,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-14,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-14,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-14,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-14,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-14,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-14,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-14,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-14,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-14,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-14,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-14,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-14,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-14,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-14,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-14,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-14,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-14,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-15,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-15,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-15,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-15,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-15,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-15,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-15,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-15,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-15,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-15,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-15,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-15,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-15,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-15,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-15,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-15,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-15,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-15,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-15,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-15,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-15,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-06-16,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-06-16,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-06-16,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-06-16,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-06-16,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-06-16,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-06-16,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-06-16,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-06-16,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-06-16,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-06-16,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-06-16,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-06-16,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-06-16,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-06-16,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-06-16,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-06-16,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-06-16,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-06-16,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-06-16,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-06-16,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
